2026-08-05T17:12:14.873926Z	 1625 Prepare	select * from `tbldomainpricing` order by `tbldomainpricing`.`order` asc, `tbldomainpricing`.`id` asc
2026-08-05T17:12:14.874211Z	 1625 Execute	select * from `tbldomainpricing` order by `tbldomainpricing`.`order` asc, `tbldomainpricing`.`id` asc
2026-08-05T17:12:14.874669Z	 1625 Close stmt	
2026-08-05T17:12:14.875053Z	 1625 Prepare	select * from `tbldomainpricing` order by `tbldomainpricing`.`order` asc, `tbldomainpricing`.`id` asc
2026-08-05T17:12:14.875332Z	 1625 Execute	select * from `tbldomainpricing` order by `tbldomainpricing`.`order` asc, `tbldomainpricing`.`id` asc
2026-08-05T17:12:14.875783Z	 1625 Close stmt	
2026-08-05T17:12:14.879631Z	 1625 Prepare	select * from `tblconfiguration` where `tblconfiguration`.`setting` = ? limit 1
2026-08-05T17:12:14.879994Z	 1625 Execute	select * from `tblconfiguration` where `tblconfiguration`.`setting` = 'lastCronInvocationTime' limit 1
2026-08-05T17:12:14.880481Z	 1625 Close stmt	
2026-08-05T17:12:14.881357Z	 1625 Prepare	update `tblconfiguration` set `value` = ?, `tblconfiguration`.`updated_at` = ? where `setting` = ?
2026-08-05T17:12:14.881656Z	 1625 Execute	update `tblconfiguration` set `value` = '2026-08-06 00:12:14', `tblconfiguration`.`updated_at` = '2026-08-06 00:12:14' where `setting` = 'lastCronInvocationTime'
2026-08-05T17:12:14.888063Z	 1625 Close stmt	
2026-08-05T17:12:14.888597Z	 1625 Prepare	select * from `tblconfiguration` where `tblconfiguration`.`setting` = ? limit 1
2026-08-05T17:12:14.888881Z	 1625 Execute	select * from `tblconfiguration` where `tblconfiguration`.`setting` = 'cronTimeZone' limit 1
2026-08-05T17:12:14.889328Z	 1625 Close stmt	
2026-08-05T17:12:14.900694Z	 1625 Prepare	insert into `tbllog_register` (`namespace`, `namespace_id`, `name`, `namespace_value`, `updated_at`, `created_at`) values (?, ?, ?, ?, ?, ?)
2026-08-05T17:12:14.901063Z	 1625 Prepare	insert into `tbllog_register` (`namespace`, `namespace_id`, `name`, `namespace_value`, `updated_at`, `created_at`) values (?, ?, ?, ?, ?, ?)
